axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
iots,num_iot,20.0,sca,8.912880369297213,0.026140585484533595,1.0,2.7999999999999994,20
iots,num_iot,24.0,random,8.848680147452846,0.052507804026886554,1.0,2.7999999999999994,20
iots,num_iot,24.0,kmeans,8.871632654718459,0.029739657702097758,1.0,2.7999999999999994,20
iots,num_iot,24.0,pso,8.881346055312818,0.02602271508021787,1.0,2.7999999999999994,20
iots,num_iot,24.0,sca,8.9099891956718,0.018554206017825117,1.0,2.7999999999999994,20
iots,num_iot,28.0,random,8.833334775135285,0.05696790442807551,1.0,2.7999999999999994,20
iots,num_iot,28.0,kmeans,8.880052867784148,0.0253372271417101,1.0,2.7999999999999994,20
iots,num_iot,28.0,pso,8.884450535136168,0.02378500232273746,1.0,2.7999999999999994,20
iots,num_iot,28.0,sca,8.90744383461863,0.016326265340325385,1.0,2.7999999999999994,20
iots,num_iot,32.0,random,8.818789991003772,0.06955769694388791,1.0,2.7999999999999994,20
iots,num_iot,32.0,kmeans,8.870469058172672,0.02669232276318925,1.0,2.7999999999999994,20
iots,num_iot,32.0,pso,8.877849087258289,0.023658065161485737,1.0,2.7999999999999994,20
iots,num_iot,32.0,sca,8.894582590427722,0.020825137438015735,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,random,8.76127858058165,0.18150202242077348,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,kmeans,8.835821281725165,0.052301166913118056,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,pso,8.852305665480507,0.0451559129637594,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,sca,8.890527014193873,0.03491414346997419,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,random,8.764260241030243,0.18163365531516212,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,kmeans,8.837062279383849,0.05223662198712986,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,pso,8.853179590844078,0.04541165539255669,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,sca,8.893445508449936,0.03466458185491411,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,random,8.765392407670278,0.18168663653118441,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,kmeans,8.837533755021678,0.05221345309142245,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,pso,8.853511733990693,0.04551256912736568,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,sca,8.894567455159576,0.034584335451547564,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,random,8.765988698898239,0.18171520984919895,1.0,2.7999999999999994,20
