axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
iots,num_iot,10.0,sca,8.946425328822473,0.025310058842697915,1.0,2.7999999999999994,20
iots,num_iot,16.0,random,8.911298445763569,0.036235069940213915,1.0,2.7999999999999994,20
iots,num_iot,16.0,kmeans,8.892501301174399,0.033808660383840644,1.0,2.7999999999999994,20
iots,num_iot,16.0,pso,8.898980840973469,0.03218034096752007,1.0,2.7999999999999994,20
iots,num_iot,16.0,sca,8.941696952020775,0.014854101134707696,1.0,2.7999999999999994,20
iots,num_iot,20.0,random,8.897555656918396,0.03962169763634279,1.0,2.7999999999999994,20
iots,num_iot,20.0,kmeans,8.898261857503648,0.033000166772493136,1.0,2.7999999999999994,20
iots,num_iot,20.0,pso,8.912432427154366,0.02477281518754211,1.0,2.7999999999999994,20
iots,num_iot,20.0,sca,8.934087419488247,0.014832346563714544,1.0,2.7999999999999994,20
iots,num_iot,24.0,random,8.88094610797359,0.0400679108265723,1.0,2.7999999999999994,20
iots,num_iot,24.0,kmeans,8.891253112777127,0.025285624030274033,1.0,2.7999999999999994,20
iots,num_iot,24.0,pso,8.898877531703043,0.023669360852860505,1.0,2.7999999999999994,20
iots,num_iot,24.0,sca,8.925051981219815,0.011228683744326654,1.0,2.7999999999999994,20
iots,num_iot,28.0,random,8.858537890915247,0.04789910085571174,1.0,2.7999999999999994,20
iots,num_iot,28.0,kmeans,8.89392779121129,0.022367086672349518,1.0,2.7999999999999994,20
iots,num_iot,28.0,pso,8.899108090366713,0.021792637375409627,1.0,2.7999999999999994,20
iots,num_iot,28.0,sca,8.918979801278706,0.010809903023059158,1.0,2.7999999999999994,20
iots,num_iot,32.0,random,8.83798172873504,0.06089472784113587,1.0,2.7999999999999994,20
iots,num_iot,32.0,kmeans,8.883096943972545,0.022393700436004006,1.0,2.7999999999999994,20
iots,num_iot,32.0,pso,8.890481417674621,0.018970977891930148,1.0,2.7999999999999994,20
iots,num_iot,32.0,sca,8.906371970778958,0.01731041027095876,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,random,8.918416255281405,0.0390678946254601,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,kmeans,8.897532880843666,0.030027896154428302,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,pso,8.902090225890163,0.033125879589874015,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,sca,8.943848059848216,0.023723142736080154,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,random,8.925109829919327,0.03616077977955635,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,kmeans,8.899930155472394,0.02968701476708644,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,pso,8.903875941732847,0.03337066149282041,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,sca,8.94685352597471,0.024805295992647296,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,random,8.927646898849277,0.03514471422657701,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,kmeans,8.90083905801947,0.02956490132021408,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,pso,8.904552392856989,0.033467912461454564,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,sca,8.946425328822473,0.025310058842697915,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,random,8.928982132083439,0.03463127417156385,1.0,2.7999999999999994,20
