axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
iots,num_iot,32.0,random,5.6168120239055055,0.9403430419652855,0.95,2.955144360688275,20
iots,num_iot,32.0,kmeans,6.903054292927881,0.3761311288096681,1.0,2.7999999999999994,20
iots,num_iot,32.0,pso,7.105604712681493,0.3073679833799645,1.0,2.7999999999999994,20
iots,num_iot,32.0,sca,7.200739458934985,0.35206183398054675,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,random,7.753978653649271,0.6119813171083222,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,kmeans,7.413254871584972,0.44824606345576146,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,pso,8.017976744723256,0.2683187670234692,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.0,sca,8.177247017236086,0.2941565393878503,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,random,7.893897353162771,0.5034237755300638,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,kmeans,7.457347380561027,0.4432562806461674,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,pso,8.09435086721061,0.2556517812031132,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,1.5,sca,8.265732391854579,0.2828190381331661,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,random,7.94693536757907,0.46427523880974675,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,kmeans,7.474058203702092,0.4415719059567104,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,pso,8.121866195236159,0.2515250254896294,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.0,sca,8.300137868754854,0.27840929776761675,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,random,7.9748497262488485,0.44427235715991487,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,kmeans,7.482852591300419,0.44073171975506087,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,pso,8.136336736094,0.24945827197082043,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,sca,8.317951814923616,0.2759050584844067,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,random,7.992074445276802,0.4321694941917522,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,kmeans,7.488278993385483,0.440229311433764,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,pso,8.14526209581696,0.24821978740539793,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,sca,8.329289002950517,0.2744749938670144,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,random,8.003763342363593,0.42407035468911525,1.0,2.8,20
lambda,lambda_i_per_s,3.5,kmeans,7.491961315527691,0.43989536617825703,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,pso,8.151317314261945,0.2473954985446657,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,sca,8.337002264476368,0.2735066286857161,1.0,2.8,20
aodt,aodt_threshold_s,0.8,random,5.3698992606384435,0.5859852238125907,0.0,1.5185822006583278,20
aodt,aodt_threshold_s,0.8,kmeans,5.813381234296445,0.5761826269201054,0.0,1.1683280081531262,20
aodt,aodt_threshold_s,0.8,pso,6.303077589743711,0.3590595111623147,0.0,1.2907404106762903,20
aodt,aodt_threshold_s,0.8,sca,7.624123462624615,0.4318011359634797,0.0,10.463750000000001,20
aodt,aodt_threshold_s,1.2,random,5.670596943069196,0.9478448550265176,0.85,1.3150192751468772,20
aodt,aodt_threshold_s,1.2,kmeans,6.7269392652352895,0.6104481728810216,1.0,1.2,20
aodt,aodt_threshold_s,1.2,pso,7.118353044390828,0.5389720535517418,1.0,1.2,20
