axis,x_name,x,repeated_default,bh_q_unique_family,bh_family_size,champion,baseline,n_seeds,n_jointly_feasible,mean_delta_Mbps,std_delta_Mbps,sem_delta_Mbps,ci95_lo_Mbps,ci95_hi_Mbps,wins,ties,losses,win_rate,wilcoxon_W_plus,wilcoxon_n_nonzero,wilcoxon_method,wilcoxon_p_two_sided,wilcoxon_p_greater,t_stat,t_df,t_p_two_sided,t_p_greater,champion_mean_Mbps,baseline_mean_Mbps,quote
uavs,num_uav,4.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.031449863582414306,0.02744012256116816,0.006135797935769764,0.018607490909859376,0.04429223625496924,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,5.12563547751003,19,6.0095840725267134e-05,3.0047920362633567e-05,8.970568487409306,8.939118623826891,"SCA wins by 0.031+/-0.027 Mbps vs kmeans, p<0.001, 20/20 seeds"
uavs,num_uav,4.0,False,9.5367431640625e-06,25,sca,pso,20,20,0.02832026499903506,0.015261684879641533,0.003412616484205916,0.021177576609121784,0.03546295338894834,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,8.298695481928705,19,9.681946524218316e-08,4.840973262109158e-08,8.970568487409306,8.94224822241027,"SCA wins by 0.028+/-0.015 Mbps vs pso, p<0.001, 20/20 seeds"
uavs,num_uav,5.0,False,0.12457635667588976,25,sca,random,20,20,0.0023518986186514823,0.007292681496587921,0.001630693156462549,-0.0010611813831836359,0.0057649786204866,13,0,7,0.65,151.0,20,exact,0.08969497680664062,0.04484748840332031,1.442269264043175,19,0.16550877725548552,0.08275438862774276,8.977164387769566,8.974812489150914,"SCA wins by 0.002+/-0.007 Mbps vs random, p=0.0897 (n.s.), 13/20 seeds"
uavs,num_uav,5.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.013573686983779698,0.00948429158505198,0.0021207520702605453,0.009134901887288167,0.01801247208027123,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,6.400411992577756,19,3.877473298481736e-06,1.938736649240868e-06,8.977164387769566,8.963590700785787,"SCA wins by 0.014+/-0.009 Mbps vs kmeans, p<0.001, 20/20 seeds"
uavs,num_uav,5.0,False,9.5367431640625e-06,25,sca,pso,20,20,0.01463583251665348,0.009022921478164891,0.002017586578081958,0.010412975276876605,0.018858689756430354,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,7.254128608729744,19,6.946861852520467e-07,3.4734309262602334e-07,8.977164387769566,8.962528555252913,"SCA wins by 0.015+/-0.009 Mbps vs pso, p<0.001, 20/20 seeds"
iots,num_iot,10.0,True,,,sca,random,20,20,0.018778429973196075,0.042308832436695115,0.009460542537709834,-0.0010227131259835827,0.038579573072375736,15,0,5,0.75,147.0,20,exact,0.1230926513671875,0.06154632568359375,1.9849210442577718,19,0.061782588798032285,0.030891294399016143,8.946425328822471,8.927646898849275,"SCA wins by 0.019+/-0.042 Mbps vs random, p=0.123 (n.s.), 15/20 seeds"
iots,num_iot,10.0,True,,,sca,kmeans,20,20,0.04558627080300006,0.019470739405162592,0.004353789688212737,0.03647368425773598,0.05469885734826414,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,10.470480677194484,19,2.4969754528046605e-09,1.2484877264023302e-09,8.946425328822471,8.900839058019471,"SCA wins by 0.046+/-0.019 Mbps vs kmeans, p<0.001, 20/20 seeds"
iots,num_iot,10.0,True,,,sca,pso,20,20,0.04187293596548365,0.026026157910099598,0.005819625828012656,0.029692319119797323,0.05405355281116998,19,0,1,0.95,206.0,20,exact,1.33514404296875e-05,6.67572021484375e-06,7.195125116795153,19,7.798785260431058e-07,3.899392630215529e-07,8.946425328822471,8.904552392856989,"SCA wins by 0.042+/-0.026 Mbps vs pso, p<0.001, 19/20 seeds"
iots,num_iot,16.0,False,0.0004172325134277344,25,sca,random,20,20,0.030398506257206838,0.0386877602651607,0.008650846185011461,0.012292077100991547,0.04850493541342213,16,0,4,0.8,198.0,20,exact,0.000133514404296875,6.67572021484375e-05,3.513934429891446,19,0.002320772051346837,0.0011603860256734185,8.941696952020779,8.911298445763569,"SCA wins by 0.030+/-0.039 Mbps vs random, p<0.001, 16/20 seeds"
iots,num_iot,16.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.04919565084637645,0.0258092143251667,0.00577111576769341,0.0371165667238191,0.0612747349689338,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,8.524460923444424,19,6.444466859686237e-08,3.2222334298431184e-08,8.941696952020779,8.892501301174402,"SCA wins by 0.049+/-0.026 Mbps vs kmeans, p<0.001, 20/20 seeds"
