num_uav,pattern,mean_eq17_max_s,mean_eq15_max_s,mean_fcfs_closed_max_s,mean_sum_rate_Mbps,feasible_fraction,sim_fcfs_max_s,sim_fcfs_p_max_s,sim_lcfs_s_max_s,sim_fcfs_mean_src_s,sim_fcfs_p_mean_src_s,sim_lcfs_s_mean_src_s
1,uniform_fast,0.7239904997197335,0.6489904997197335,0.6497210192002532,8.088497252431683,1.0,1.2922308593624272,1.293686104429647,1.4785611037250008,0.5635509795091872,0.5635923715937129,0.6331505017893397
1,uniform_slow,1.4739904997197335,1.398990499719733,1.3992760327146576,8.088497252431683,1.0,2.9763804243770755,2.97735549958262,3.153223814515612,1.2730013749758897,1.2730247352936146,1.3408714108557545
1,heterogeneous,1.6077254123726643,1.4038191623726644,1.4041046953675882,8.088497252431683,1.0,1.9976053048831741,1.9990975246031581,2.2555557670360775,0.8013569096660369,0.8015315066085934,0.8938926337263382
2,uniform_fast,0.9824214646861356,0.9074214646861355,0.9082100386949084,8.462186778371608,1.0,1.3891765377579046,1.3892787042968233,1.5570153490473841,0.6450911122920487,0.6450275612946756,0.7135014540872728
2,uniform_slow,1.7199214646861356,1.6449214646861354,1.6452179097700372,8.462186778371608,1.0,3.066073066762879,3.0654849489354286,3.2722328769478297,1.3540641743980777,1.3538628257006684,1.4344123408078544
2,heterogeneous,1.8867890469858861,1.682882796985886,1.6831683299808098,8.462186778371608,1.0,2.1077389643482602,2.108316674510651,2.3876985362570258,0.8828478241929805,0.8830678254467722,0.9748364882460511
3,uniform_fast,0.9975803429732626,0.9225803429732627,0.9233302139631998,8.691516422117463,1.0,1.4546053051458352,1.4545571904524208,1.6332236952199426,0.6944019833360848,0.694391269961653,0.7619671243807463
3,uniform_slow,1.7434136763065962,1.6684136763065958,1.6687028466645124,8.691516422117463,1.0,3.1312052505764036,3.13092704914543,3.342990037824021,1.4032675201855218,1.4032521702112575,1.47630658508829
3,heterogeneous,1.8859647044153944,1.6820584544153945,1.6823439874103183,8.691516422117463,1.0,2.155321330338645,2.15447835531534,2.4438838772074876,0.9323570241242212,0.9322721770261782,1.0293767453692841
4,uniform_fast,1.003612034970617,0.9286120349706174,0.9293425544511369,8.803987150339244,1.0,1.467750815759221,1.4680513451902322,1.6531321945259667,0.7111230399611325,0.711265559090948,0.7810428497541796
4,uniform_slow,1.7536120349706175,1.678612034970617,1.6788975679655411,8.803987150339244,1.0,3.1344750413514646,3.135019589688838,3.3287885214983417,1.4196704631469572,1.4198725831824281,1.4954762703627105
4,heterogeneous,1.8836528191092128,1.6797465691092124,1.6800321021041367,8.803987150339244,1.0,2.1654843397734136,2.1645973557875022,2.4321076555052112,0.948743102982869,0.9486557388072884,1.039357188876716
5,uniform_fast,1.0034653998320628,0.9284653998320629,0.9291959193125823,8.8611757714362,1.0,1.4734748269992743,1.4736550602930092,1.6577494944425788,0.7269892731579338,0.7266929897460378,0.7952218819619169
5,uniform_slow,1.7534653998320628,1.6784653998320629,1.6787509328269867,8.8611757714362,1.0,3.154576014891194,3.1539560056913776,3.364217989085605,1.435377727123807,1.4355389926438142,1.5111972304059595
5,heterogeneous,1.8825461132831858,1.6786398632831858,1.6789253962781097,8.8611757714362,1.0,2.1974919246886984,2.1965793207987607,2.4614520479226605,0.9644524647425461,0.9641753910792257,1.0526291540296946
